Intensity,Red,Green,Blue
0,17,41,436
1,8,15,91
2,4,21,111
3,6,14,98
4,9,20,121
5,10,26,170
6,12,30,195
7,16,32,217
8,20,52,220
9,18,37,272
10,17,52,352
11,19,58,365
12,34,56,443
13,24,83,512
14,25,82,572
15,32,84,666
16,28,111,742
17,40,131,838
18,45,156,985
19,57,201,1150
20,50,230,1274
21,57,247,1505
22,46,279,1669
23,60,321,2013
24,50,375,2319
25,68,403,2700
26,89,533,3028
27,99,606,3605
28,127,715,4149
29,140,797,4882
30,148,1035,5791
31,180,1347,6873
32,208,1711,8332
33,210,2228,10144
34,221,3094,12796
35,286,4329,16793
36,360,6396,22252
37,369,8790,30718
38,462,11269,41413
39,516,14392,55754
40,547,17894,76276
41,662,20614,104260
42,694,22551,139008
43,858,26035,179136
44,1085,34584,227081
45,1678,49496,289209
46,2648,66596,381567
47,3533,74912,484572
48,3849,76870,606875
49,4202,87906,749330
50,4687,111876,923082
51,5033,150328,1125999
52,5437,170401,1308682
53,6172,175904,1448587
54,7837,172792,1534674
55,8887,178489,1587868
56,9109,190693,1619297
57,9211,202169,1611352
58,9328,210327,1571115
59,9416,216970,1491025
60,10430,217382,1406022
61,11592,219002,1300913
62,13169,230025,1187117
63,14995,249806,1082352
64,18252,265657,977458
65,21777,279652,867629
66,24355,292461,762637
67,25448,307094,666941
68,25320,314929,580211
69,24141,321568,505360
70,24670,329891,437814
71,26407,346315,383781
72,27235,369538,340729
73,26420,389208,300310
74,26654,405429,267086
75,28502,420053,237343
76,31211,439623,209304
77,35858,473466,185635
78,42707,521572,165678
79,52131,589687,150268
80,65151,654911,137381
81,81064,686965,124689
82,93169,694070,114581
83,85073,710340,107058
84,77652,730295,96562
85,66373,755402,85440
86,55761,783167,76764
87,52654,790122,67853
88,53856,768918,61392
89,55893,744472,55228
90,59333,732906,50555
91,62228,722830,46007
92,65952,712052,42017
93,70013,700836,38739
94,74724,694586,35491
95,79445,681348,33131
96,86056,659003,30817
97,88763,634459,28926
98,87585,606762,27218
99,85657,582948,25800
100,80203,573332,24620
101,76787,554846,24437
102,74196,522990,23494
103,74899,483163,22274
104,74997,442041,21365
105,75125,405987,19912
106,75674,379817,18660
107,77105,353205,17613
108,78428,319108,16500
109,81701,288807,15591
110,85776,260975,14159
111,89533,238726,13452
112,92260,218702,12559
113,93780,205868,11915
114,95215,194404,11003
115,95281,184436,10471
116,94033,176866,10039
117,93683,166698,9747
118,93881,153943,9035
119,95143,141444,8149
120,97083,129291,7623
121,100453,120713,6915
122,102749,112441,6629
123,104485,103888,6374
124,105309,95574,5995
125,105997,88519,5710
126,106128,82218,5414
127,106245,77412,5425
128,108139,70887,5094
129,107682,64177,4718
130,109920,58962,4646
131,112070,54769,4560
132,111664,51828,4277
133,113883,49318,4210
134,111835,46927,4237
135,113139,45051,3991
136,113243,42367,3963
137,114627,39836,3782
138,116483,37433,3726
139,118548,34985,3724
140,121625,33267,3687
141,125175,30930,3545
142,132700,28221,3531
143,141240,26247,3402
144,147642,24656,3491
145,152330,22963,3574
146,155483,21714,3427
147,159905,20348,3426
148,163830,19250,3323
149,167667,18178,3213
150,170406,16782,3317
151,171958,15097,3343
152,173820,13759,3154
153,174491,12389,3148
154,175914,11501,3128
155,183254,10544,3054
156,190258,9568,3134
157,197089,8940,3030
158,206117,8119,2984
159,221712,7436,2947
160,228366,7054,3055
161,225144,6501,2912
162,221458,6487,2882
163,216574,6151,3004
164,213221,5982,2979
165,218415,5955,2948
166,220826,5893,2944
167,218809,5287,3052
168,218595,5526,3116
169,223846,5194,3063
170,228444,5082,3148
171,228193,5031,3237
172,226648,4773,3299
173,232959,4600,3179
174,234155,4461,3207
175,231483,4446,3264
176,235584,4328,3233
177,242181,4370,3148
178,251103,4097,3278
179,256208,4130,3304
180,259932,4224,3488
181,259052,4105,3556
182,250459,4044,3367
183,248778,4137,3391
184,246525,4058,3347
185,244826,4069,3385
186,241777,4121,3450
187,239366,4167,3653
188,235047,4255,3954
189,236596,4304,4006
190,242641,4308,3869
191,243312,4499,3913
192,245830,4614,3959
193,246581,4674,4063
194,248029,4570,4123
195,251227,4788,4148
196,255514,4580,4180
197,259896,4512,4328
198,259475,4477,4210
199,258911,4646,4401
200,260514,4640,4823
201,267867,4868,5201
202,271579,4778,5521
203,280208,4706,5796
204,293939,4819,6030
205,307680,4965,6094
206,324455,5028,6240
207,335753,5260,6299
208,345766,5438,6689
209,356119,5763,6683
210,368093,6205,6969
211,387684,6684,7078
212,408885,7795,7144
213,417199,8078,7095
214,414126,7903,7016
215,412889,7757,7472
216,417887,7774,7630
217,429723,8166,8046
218,439852,8348,8388
219,456082,8606,8806
220,452949,8159,9749
221,440315,8440,9188
222,422530,8601,8959
223,410668,9187,8920
224,403151,10206,9434
225,396802,10767,9748
226,365556,11653,10404
227,317466,11495,11315
228,272553,11248,12010
229,238528,11717,12092
230,214797,11718,12498
231,195479,12492,12842
232,178772,13157,13483
233,166474,13919,13702
234,157101,14876,13811
235,146235,15842,13615
236,135200,17265,13995
237,123862,18595,15193
238,116752,19157,16171
239,114002,19670,17153
240,114270,21138,17723
241,112307,22791,17455
242,107017,25240,18538
243,104129,28186,19701
244,108096,28242,20185
245,122651,27856,22149
246,126154,28845,24480
247,128546,29580,27724
248,147731,35390,32719
249,149778,47650,39438
250,95980,68558,53500
251,123883,86408,86954
252,336569,121085,169648
253,245499,356385,548689
254,88828,436285,255165
255,164782,234129,194355
